,BERT,RoBERTa,ViT,ResNet50
Accuracy,0.95,0.8996666666666666,0.524,0.7511111111111111
Precision,0.9159977635619332,0.8457907768492727,0.503160761761646,0.7395859953999488
Recall,0.949921502971696,0.9006743940722504,0.5035,0.6666666666666667
F1-score,0.9313386341942148,0.8675656169836317,0.4975756029092765,0.6783745150091893
