,precision,recall,f1-score,support
Real,0.7582417582417582,0.92,0.8313253012048193,300.0
Fake,0.7209302325581395,0.41333333333333333,0.5254237288135594,150.0
accuracy,0.7511111111111111,0.7511111111111111,0.7511111111111111,0.7511111111111111
macro avg,0.7395859953999488,0.6666666666666667,0.6783745150091893,450.0
weighted avg,0.7458045830138854,0.7511111111111111,0.7293581104077326,450.0
